epoch,loss_train,loss_valid,accuracy_train,accuracy_valid
1,0.573119,0.478009,79.558585,83.17757
2,0.407413,0.474787,85.978578,84.404206
3,0.352284,0.440824,88.081792,85.57243
4,0.310307,0.510448,89.302175,83.17757
5,0.277515,0.500828,90.249919,83.119159
6,0.243122,0.479801,91.755923,84.929907
7,0.220313,0.486076,92.521908,85.57243
8,0.191602,0.519306,93.489127,83.936916
9,0.164089,0.535994,94.352483,83.703271
10,0.14744,0.608849,95.027588,83.703271
11,0.124169,0.553227,95.826031,84.462617
12,0.117865,0.617495,95.864979,85.046729
13,0.102714,0.662903,96.481662,82.885514
14,0.094128,0.677962,96.871146,83.235981
15,0.086194,0.676148,97.267121,84.63785
16,0.077168,0.649412,97.435897,84.404206
17,0.077746,0.680672,97.422915,84.813084
18,0.067889,0.806839,97.786433,84.929907
19,0.063344,0.710199,97.981175,83.761682
20,0.061523,0.787945,97.922752,84.404206
21,0.060049,0.698565,97.935735,83.411215
22,0.050273,0.781986,98.240831,83.469626
23,0.054199,0.847837,98.23434,84.228972
24,0.046343,0.752617,98.493995,84.228972
25,0.047178,0.819562,98.351185,84.63785
26,0.046478,0.799832,98.370659,84.63785
27,0.046945,0.767247,98.474521,83.936916
28,0.046581,0.805155,98.448556,84.871495
29,0.04355,0.801633,98.539435,84.871495
30,0.035138,0.86708,98.818565,82.242991
31,0.03968,0.877769,98.604349,84.63785
32,0.036623,0.912641,98.831548,84.63785
33,0.037001,0.932731,98.721194,82.067757
34,0.043173,0.891058,98.500487,83.761682
35,0.043785,0.965703,98.409607,84.754673
36,0.033258,0.853113,98.864005,84.63785
37,0.03062,0.848768,98.954885,85.221963
38,0.035399,0.943781,98.83804,83.936916
39,0.039537,0.86553,98.708212,84.170561
40,0.02994,0.908967,98.98085,83.995327
41,0.027156,0.920848,99.07173,83.936916
42,0.034355,0.886824,98.831548,84.345794
43,0.031735,0.905874,98.902954,84.813084
44,0.027447,0.898487,99.097696,84.462617
45,0.031563,0.996308,99.019799,83.995327
46,0.025595,0.96573,99.058747,84.988318
47,0.030505,1.005349,99.000325,84.579439
48,0.028767,1.024193,98.954885,84.053738
49,0.035383,0.883361,98.922428,84.345794
50,0.02721,0.962206,99.065239,83.820093
