epoch,loss_train,loss_valid,accuracy_train,accuracy_valid
1,1.012995,1.025717,62.992535,60.689252
2,0.884776,0.893674,66.199286,65.245327
3,0.806337,0.893135,69.036027,65.654206
4,0.745878,0.960209,71.496267,59.988318
5,0.697647,0.732327,73.930542,72.780374
6,0.664966,0.861164,74.917235,65.771028
7,0.645125,0.668767,75.68322,74.824766
8,0.611541,0.731625,77.286595,72.079439
9,0.59285,0.685617,78.221357,74.591121
10,0.578299,0.871038,78.7926,66.238318
11,0.553387,0.736331,79.467705,74.415888
12,0.533835,0.739442,80.363518,72.254673
13,0.530745,0.599779,80.538786,77.803738
14,0.506423,0.60545,81.596884,78.504673
15,0.481551,0.677968,82.590068,74.883178
16,0.4639,0.664167,83.446933,76.92757
17,0.447899,0.69458,84.167478,74.474299
18,0.429283,0.663063,84.511522,76.518692
19,0.411368,0.628935,85.348913,78.271028
20,0.382609,0.692644,85.907173,75.116822
21,0.368461,0.76739,87.043168,77.628505
22,0.354554,0.689593,87.302824,76.401869
23,0.325995,0.96284,88.484258,67.815421
24,0.316535,0.823035,88.951639,74.474299
25,0.28865,0.741936,90.06816,76.985981
26,0.268782,0.878494,90.574489,73.247664
27,0.258412,0.841281,91.171698,74.357477
28,0.226049,0.946001,92.411555,72.721963
29,0.221095,1.003495,92.372606,69.392523
30,0.210098,0.874483,92.781564,75.584112
31,0.198448,0.807264,93.274911,75.584112
32,0.182536,0.962899,93.872119,73.714953
33,0.16944,0.866041,94.274586,77.336449
34,0.159788,1.336516,94.391431,74.415888
35,0.154757,1.14613,94.670562,71.028037
36,0.143198,1.044019,95.157416,75.292056
37,0.132624,0.960985,95.689711,77.044393
38,0.13076,1.173972,95.494969,74.53271
39,0.112123,1.556687,96.105161,73.481308
40,0.125432,1.535768,95.864979,67.406542
41,0.111056,1.223561,96.209023,70.735981
42,0.102995,1.306622,96.468679,70.21028
43,0.106485,1.180555,96.222006,76.810748
44,0.108101,1.721315,96.24148,65.771028
45,0.096097,1.059543,96.760792,77.570093
46,0.080639,1.366297,97.163259,73.714953
47,0.088321,1.138286,96.987991,77.102804
48,0.090666,1.243336,96.942551,75.992991
49,0.084185,1.009428,97.104836,77.745327
50,0.081436,1.141559,97.241155,76.985981
